DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LT,2021,2808,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2013,949,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2014,908,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2015,983,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2016,941,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2017,955,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2018,947,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2019,987,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2020,771,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LU,2021,916,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2013,3489,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2014,3728,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2015,3692,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2016,3792,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2017,3875,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2018,3975,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2019,3729,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2020,3403,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,LV,2021,0,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2013,1208,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,MT,2014,1449,
