DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2014,50,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2015,61,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2016,38,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2017,51,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2018,57,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2019,67,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2020,59,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,PT,2021,44,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2012,17,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2013,24,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2014,21,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2015,19,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2016,26,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2017,36,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2018,24,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2019,43,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2020,33,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,RO,2021,40,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2012,16,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2013,18,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2014,31,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2015,15,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2016,17,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2017,20,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2018,24,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2019,20,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SE,2020,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2012,20,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2013,16,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2014,15,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2015,15,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2016,25,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2017,19,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2018,14,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2019,14,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2020,6,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SI,2021,15,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SK,2016,11,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SK,2017,21,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SK,2018,14,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SK,2019,8,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SK,2020,18,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,SK,2021,12,
